epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,15387.6,1.26421,2.1214,0.85267,1.20742,0,0.53011,0.45638,0.47654,0.27397,0.50837,0.42734,0.43791,0.2172,1.91321,3.01092,1.47015,1.67158,0,0.000786192,0.000786192,0.000786192
42,15751.6,1.27194,2.10042,0.84622,1.2001,0,0.55395,0.45486,0.4925,0.27513,0.54148,0.42422,0.44244,0.21525,1.91248,2.99023,1.47899,1.66813,0,0.000776266,0.000776266,0.000776266
43,16115.2,1.25544,2.08163,0.84125,1.19228,0,0.59084,0.47412,0.5174,0.28988,0.56872,0.45999,0.47687,0.23651,1.83726,2.9343,1.35985,1.62447,0,0.000766182,0.000766182,0.000766182
44,16480.2,1.2509,2.06452,0.82565,1.18461,0,0.56836,0.50078,0.53605,0.30305,0.63435,0.43268,0.48822,0.23844,1.85264,2.93959,1.41061,1.62854,0,0.000755945,0.000755945,0.000755945
45,16843.9,1.23686,2.03864,0.8087,1.17909,0,0.64209,0.46005,0.52938,0.30189,0.63141,0.43451,0.49255,0.2462,1.85592,2.87723,1.31958,1.61434,0,0.000745562,0.000745562,0.000745562
46,17209,1.24991,2.04778,0.81455,1.18684,0,0.5798,0.51399,0.5312,0.31161,0.56773,0.48282,0.50293,0.25355,1.8651,2.92057,1.30176,1.61307,0,0.000735038,0.000735038,0.000735038
47,17573.5,1.24342,2.05597,0.79539,1.18377,0,0.52256,0.52441,0.54242,0.31896,0.62803,0.4454,0.50443,0.26127,1.88875,2.91171,1.31464,1.64239,0,0.00072438,0.00072438,0.00072438
48,17937.1,1.21296,1.99862,0.77043,1.1752,0,0.60741,0.48732,0.54416,0.3147,0.62021,0.44461,0.49823,0.25378,1.8226,2.88416,1.31029,1.6048,0,0.000713594,0.000713594,0.000713594
49,18301.3,1.21966,1.98664,0.77706,1.16397,0,0.58225,0.50483,0.52626,0.30843,0.56766,0.48809,0.48742,0.258,1.86108,2.96211,1.39716,1.64285,0,0.000702685,0.000702685,0.000702685
50,18663.7,1.23591,2.03487,0.80481,1.1733,0,0.6616,0.49313,0.55037,0.31591,0.61852,0.48968,0.50726,0.2553,1.882,2.9301,1.30636,1.62472,0,0.000691662,0.000691662,0.000691662
51,19028.6,1.21882,1.99848,0.76337,1.15903,0,0.61092,0.52866,0.54869,0.32457,0.58577,0.51997,0.51346,0.26944,1.85031,2.87808,1.32479,1.62291,0,0.000680529,0.000680529,0.000680529
52,19394.1,1.20257,1.95747,0.74507,1.14552,0,0.59591,0.54251,0.56379,0.33313,0.585,0.51542,0.51492,0.27104,1.82701,2.88236,1.23773,1.6124,0,0.000669294,0.000669294,0.000669294
53,19759.7,1.19179,1.95676,0.74629,1.15836,0,0.712,0.47756,0.56454,0.33296,0.681,0.45534,0.5173,0.27349,1.87593,2.88128,1.27187,1.65211,0,0.000657963,0.000657963,0.000657963
54,20122,1.16703,1.92916,0.73351,1.15091,0,0.61064,0.4983,0.55611,0.32458,0.59644,0.48063,0.51225,0.26461,1.81585,2.77932,1.30025,1.57937,0,0.000646543,0.000646543,0.000646543
55,20484.7,1.16875,1.91989,0.72135,1.13631,0,0.6816,0.49105,0.56527,0.34269,0.6701,0.47554,0.52881,0.28407,1.81898,2.82641,1.25565,1.57588,0,0.00063504,0.00063504,0.00063504
56,20850.3,1.1705,1.92833,0.72275,1.14201,0,0.63899,0.50197,0.56698,0.35067,0.62268,0.4875,0.52976,0.29114,1.81165,2.8157,1.2589,1.59179,0,0.000623461,0.000623461,0.000623461
57,21213.7,1.18541,1.93904,0.72831,1.14314,0,0.66807,0.49616,0.57612,0.34625,0.65627,0.46725,0.52863,0.28714,1.85028,2.85863,1.34416,1.62143,0,0.000611813,0.000611813,0.000611813
58,21575.6,1.16468,1.90987,0.71837,1.13688,0,0.66503,0.51507,0.58187,0.36186,0.69206,0.47077,0.53404,0.29527,1.79539,2.83953,1.31022,1.57664,0,0.000600103,0.000600103,0.000600103
59,389.622,1.16184,1.89693,0.69009,1.14324,0,0.6797,0.53569,0.59583,0.35916,0.64301,0.49478,0.54088,0.29945,1.80344,2.83793,1.2215,1.57148,0,0.000588337,0.000588337,0.000588337
60,747.998,1.15846,1.89974,0.69937,1.14274,0,0.71333,0.51725,0.60023,0.37096,0.67607,0.50686,0.55782,0.31144,1.7892,2.79884,1.1491,1.5752,0,0.000576522,0.000576522,0.000576522
61,1107.09,1.15904,1.88552,0.68623,1.12772,0,0.67427,0.51201,0.58759,0.36214,0.657,0.48562,0.54299,0.30132,1.78877,2.83142,1.21956,1.56846,0,0.000564666,0.000564666,0.000564666
62,1468.4,1.16491,1.91741,0.68583,1.13718,0,0.6379,0.52727,0.58513,0.34835,0.64222,0.48375,0.53434,0.28939,1.82905,2.85656,1.26803,1.59518,0,0.000552774,0.000552774,0.000552774
63,1826.56,1.14299,1.85166,0.66291,1.12121,0,0.61086,0.53629,0.57238,0.3511,0.59794,0.48292,0.51568,0.29079,1.785,2.80712,1.25861,1.5732,0,0.000540855,0.000540855,0.000540855
64,2186.14,1.15491,1.89568,0.6866,1.12755,0,0.62485,0.54599,0.58803,0.35775,0.58631,0.50292,0.53127,0.29409,1.81177,2.80708,1.21607,1.56721,0,0.000528915,0.000528915,0.000528915
65,2544.65,1.13306,1.84201,0.65349,1.11754,0,0.69492,0.5237,0.59666,0.36838,0.70673,0.50543,0.55881,0.31399,1.79385,2.83552,1.27018,1.56869,0,0.000516961,0.000516961,0.000516961
66,2904.53,1.1373,1.84215,0.66155,1.11133,0,0.63261,0.51948,0.57695,0.36161,0.62176,0.49331,0.54202,0.3035,1.78461,2.8406,1.25846,1.56816,0,0.000505,0.000505,0.000505
67,3263.18,1.12675,1.82578,0.65151,1.11801,0,0.68949,0.52721,0.60378,0.37157,0.61206,0.52863,0.55191,0.31241,1.81907,2.89645,1.20964,1.59506,0,0.000493039,0.000493039,0.000493039
68,3621.12,1.12521,1.83052,0.6546,1.11479,0,0.64893,0.54231,0.59787,0.37756,0.60526,0.51961,0.54766,0.31286,1.78913,2.81245,1.20634,1.61286,0,0.000481085,0.000481085,0.000481085
69,3980.5,1.12135,1.82828,0.64422,1.11255,0,0.65894,0.55939,0.61207,0.37691,0.65134,0.51595,0.56448,0.32016,1.80722,2.84899,1.16274,1.5773,0,0.000469145,0.000469145,0.000469145
70,4339.96,1.09964,1.77669,0.62925,1.09549,0,0.62817,0.54191,0.5781,0.36502,0.60714,0.5123,0.53946,0.30892,1.79905,2.91449,1.26796,1.59434,0,0.000457226,0.000457226,0.000457226
71,4699.01,1.09894,1.77742,0.61902,1.09728,0,0.66089,0.53245,0.5907,0.37612,0.64539,0.50399,0.56307,0.31643,1.79547,2.8424,1.20778,1.59706,0,0.000445334,0.000445334,0.000445334
72,5060.25,1.10371,1.79951,0.63045,1.10088,0,0.68189,0.52458,0.60098,0.37804,0.63981,0.49197,0.54493,0.31771,1.74893,2.7941,1.18499,1.55701,0,0.000433478,0.000433478,0.000433478
73,5421.1,1.09849,1.77985,0.62309,1.09441,0,0.7302,0.52152,0.61078,0.39289,0.71274,0.48272,0.56154,0.32693,1.78532,2.85216,1.20308,1.6105,0,0.000421663,0.000421663,0.000421663
74,5780.4,1.09192,1.76896,0.61558,1.09365,0,0.63095,0.54571,0.59328,0.3793,0.59914,0.52124,0.54458,0.31962,1.78864,2.77298,1.20031,1.6015,0,0.000409897,0.000409897,0.000409897
