epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
89,1863.02,1.04495,2.05975,0.62911,1.13023,0,0.95846,0.87686,0.96203,0.74661,0.95837,0.88073,0.95647,0.6997,1.0335,1.60054,0.56355,1.25866,0,0.000597754,0.000597754,0.000597754
90,1882.44,1.00924,1.96309,0.60357,1.10188,0,0.95307,0.87836,0.95956,0.73322,0.96176,0.88991,0.96035,0.69671,1.10817,1.63176,0.59099,1.27996,0,0.000590105,0.000590105,0.000590105
91,1904.02,1.05129,2.11642,0.62347,1.13381,0,0.94883,0.8991,0.96393,0.74527,0.95574,0.90565,0.963,0.70123,1.07573,1.66624,0.55661,1.27887,0,0.000582435,0.000582435,0.000582435
92,1925.31,1.04958,2.05058,0.63281,1.13198,0,0.95131,0.89617,0.96468,0.74052,0.95185,0.89777,0.96002,0.70234,1.08855,1.60456,0.5663,1.28264,0,0.000574746,0.000574746,0.000574746
93,1945.18,1.00608,1.95463,0.60711,1.11114,0,0.9368,0.89122,0.9638,0.74474,0.93818,0.89253,0.95911,0.70109,1.03436,1.59294,0.56904,1.26056,0,0.00056704,0.00056704,0.00056704
94,1966.88,1.04505,2.1103,0.64636,1.1348,0,0.93354,0.89384,0.96514,0.74481,0.93804,0.89646,0.96316,0.70872,1.03941,1.62216,0.56927,1.26208,0,0.000559318,0.000559318,0.000559318
95,1988.5,1.06146,2.15008,0.64983,1.15169,0,0.93849,0.89989,0.96683,0.75346,0.93057,0.91612,0.96828,0.71765,1.01608,1.56158,0.53765,1.24306,0,0.000551584,0.000551584,0.000551584
96,2008.59,1.02724,2.02127,0.61767,1.12025,0,0.92869,0.90301,0.96532,0.74933,0.93958,0.89671,0.96162,0.70102,1.04222,1.66273,0.56365,1.25602,0,0.000543837,0.000543837,0.000543837
97,2029.03,1.00157,1.96493,0.60203,1.10949,0,0.93725,0.90048,0.96511,0.74681,0.93527,0.90891,0.95982,0.69447,1.01268,1.57291,0.55126,1.23815,0,0.000536081,0.000536081,0.000536081
98,2047.95,0.9789,1.93534,0.6031,1.09257,0,0.92336,0.90002,0.95852,0.74517,0.93992,0.88729,0.95724,0.70129,1.03047,1.61093,0.54657,1.24348,0,0.000528318,0.000528318,0.000528318
