epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1723.05,1.60499,2.05544,1.97541,0.40448,0.35043,0.34761,0.17208,2.02283,2.16344,2.41165,0.000381899,0.000381899,0.000381899
60,1753.22,1.58214,1.99535,1.95073,0.4137,0.36608,0.35415,0.17777,2.03292,2.14705,2.39837,0.000366899,0.000366899,0.000366899
61,1783.2,1.61085,2.02213,1.98057,0.38723,0.37523,0.35533,0.17922,2.01372,2.1298,2.37857,0.000352037,0.000352037,0.000352037
62,1814.81,1.5786,1.95857,1.9417,0.40706,0.37849,0.35803,0.18058,2.01196,2.13681,2.38137,0.000337325,0.000337325,0.000337325
63,1844.42,1.55664,1.95631,1.93654,0.41194,0.35006,0.34869,0.17561,2.01694,2.17745,2.39223,0.000322778,0.000322778,0.000322778
64,1875.01,1.58786,1.95241,1.94913,0.33624,0.36102,0.34375,0.17088,2.04818,2.15071,2.40402,0.000308412,0.000308412,0.000308412
65,1903.7,1.56428,1.9504,1.92454,0.41393,0.37196,0.35434,0.17355,2.00264,2.11706,2.37793,0.000294239,0.000294239,0.000294239
66,1931.53,1.56722,1.96507,1.94435,0.39184,0.36271,0.35365,0.17618,2.00734,2.13003,2.39744,0.000280275,0.000280275,0.000280275
67,1959.58,1.58372,1.95864,1.95477,0.41177,0.3782,0.36305,0.17615,2.06685,2.12439,2.42632,0.000266532,0.000266532,0.000266532
68,1988.03,1.59002,1.94951,1.94904,0.39957,0.36902,0.35695,0.17237,2.05689,2.12787,2.41904,0.000253024,0.000253024,0.000253024
69,2017.01,1.54703,1.93306,1.92057,0.36355,0.38648,0.35841,0.18197,1.98695,2.14949,2.37446,0.000239766,0.000239766,0.000239766
70,2045.68,1.55787,1.92727,1.92203,0.3904,0.3636,0.34969,0.17394,2.02825,2.15282,2.4114,0.000226769,0.000226769,0.000226769
71,2075.18,1.54544,1.91638,1.92822,0.3701,0.3713,0.35088,0.18127,2.01294,2.12589,2.40191,0.000214046,0.000214046,0.000214046
72,2103.18,1.52617,1.89279,1.91739,0.3908,0.3777,0.35743,0.18443,2.01917,2.11371,2.39477,0.000201611,0.000201611,0.000201611
73,2131.3,1.54677,1.91023,1.91473,0.37131,0.39832,0.35497,0.17876,2.06409,2.13103,2.42655,0.000189475,0.000189475,0.000189475
74,2159.35,1.51341,1.89893,1.91474,0.34746,0.38916,0.34774,0.17884,2.05732,2.13098,2.41829,0.000177651,0.000177651,0.000177651
75,2187.31,1.49008,1.80841,1.87446,0.33906,0.39396,0.34895,0.18205,2.02774,2.12243,2.40365,0.000166149,0.000166149,0.000166149
76,2215.17,1.52315,1.87504,1.90191,0.37946,0.38844,0.35326,0.18058,2.03044,2.1206,2.40766,0.000154982,0.000154982,0.000154982
77,2243.25,1.53026,1.88613,1.91735,0.39563,0.35421,0.35139,0.18163,2.03134,2.11251,2.41247,0.000144161,0.000144161,0.000144161
78,2271.33,1.51036,1.85668,1.91765,0.38215,0.3852,0.3535,0.1815,2.03741,2.10882,2.419,0.000133695,0.000133695,0.000133695
79,2299.36,1.54338,1.8727,1.92585,0.36883,0.39105,0.34812,0.17898,2.03016,2.1305,2.39904,0.000123596,0.000123596,0.000123596
80,2327.77,1.49801,1.84043,1.87909,0.35638,0.36516,0.34625,0.18585,2.01695,2.11698,2.36666,0.000113873,0.000113873,0.000113873
81,2356.13,1.5148,1.8194,1.88428,0.36773,0.36131,0.34407,0.18333,2.05012,2.13321,2.39749,0.000104537,0.000104537,0.000104537
82,2384.23,1.50038,1.82457,1.87855,0.39128,0.37508,0.3488,0.18271,2.05597,2.11973,2.40768,9.55951e-05,9.55951e-05,9.55951e-05
83,2412.02,1.48981,1.80941,1.87842,0.38513,0.3674,0.35247,0.18456,2.04306,2.10652,2.39967,8.70577e-05,8.70577e-05,8.70577e-05
84,2440.36,1.49892,1.80074,1.88353,0.40802,0.34794,0.35165,0.18682,2.03222,2.11123,2.39973,7.89327e-05,7.89327e-05,7.89327e-05
